大区,货架,层级,位次,产品名
A,3,1,1,mp5套件
A,3,1,2,mp5k UTG鱼骨
A,3,1,3,MP5k b&t后托
A,3,2,L1,训练消
A,3,2,L2,bcm长款火帽
A,3,2,L3,dd长款火帽
A,3,2,L3,dd短款火帽
A,3,2,L4,a5长款消音
A,3,2,L5,ldt桑德曼沙色消音
A,3,2,L6,ldt桑德曼短黑消音
A,3,2,L7,mp5海军火帽
A,3,2,L8,mp5 x20消音
A,3,2,L9,slr消音
A,3,2,L10,cgs黑色
A,3,2,L10,cgs沙色
A,3,2,L11,Q消音+樱桃火帽组合
A,3,2,R1,kac火帽
A,3,2,R2,A5火帽
A,3,2,R3,音叉火帽
A,3,2,R4,sf2火帽
A,3,2,R5,sf3火帽
A,3,2,R6,sf4火帽
A,3,2,R7,5km火帽
A,3,2,R8,鸟笼火帽
A,3,2,R9,樱桃火帽
A,3,3,L1,ldx 有拉桥内构
A,3,3,L2,ldx齿轮
A,3,3,L2,2号波弹簧
A,3,3,L3,ldt弹簧
A,3,3,L4,se 大g拉机柄
A,3,3,L5,ldx拉桥
A,3,3,L6,se a5配件包
A,3,3,L7,hrf弹夹井
A,3,3,L8,星河上旋
A,3,3,L9,龙创上旋
A,3,3,L10,ldx回趟天梯
A,3,3,L11,气缸70%
A,3,3,R1,ldx尾顶
A,3,3,R1,ldx供电座
A,3,3,R2,2号波拉机柄
A,3,3,R2,银翼背带环
A,3,3,R2,ldx回趟套件
A,3,3,R2,延时器
A,3,3,R3,ldx dd网球拍
A,3,3,R3,ldx ar网球拍
A,3,3,R3,n4 qd座
A,3,3,R3,ldx推嘴
A,3,3,R3,ldx大流量缸头推嘴
A,3,3,R4,ldx三通
A,3,3,R5,ldx缸头
A,3,3,R6,大g弯开关
A,3,3,R7,大g直开关
A,3,3,R8,ldx拍头
A,3,3,R9,ldx ar机片
A,3,3,R10,气缸80%
A,3,3,R11,气缸60%
A,3,3,R12,气缸50%
A,3,4,1,slm后托
A,3,4,2,b5托
A,3,4,2,ldt slk后托
A,3,4,3,RL托
A,3,4,4,TR托
A,3,4,5,CTR托
A,4,2,L1,mp5k MI鱼骨
A,4,2,L2,mp5标准镜桥
A,4,2,L3,mp5k现代化下身
A,4,2,L3,mp5现代化下身
A,4,2,L4,mp5长款镜桥
A,4,2,L5,mp5 b&t消音
A,4,2,L6,mp5 mi鱼骨
A,4,2,L7,mp5 kac鱼骨
A,4,2,L8,激趣 sef下身
A,4,2,L9,mp5手电护木 短款
A,4,2,L10,mp5手电护木 长款
A,4,2,L11,mp5k acr托
A,4,2,L12,mp5k折叠托
A,4,2,R1,激趣 mp5现代化下身
A,4,2,R2,激趣mp5k mi鱼骨
A,4,2,R3,mp5逆牙转接
A,4,2,R4,mp5弹鼓
A,4,2,R5,mp5 a3托
A,4,2,R6,mp5火帽
A,4,2,R6,mp5触点
A,4,2,R6,mp5弹夹井
A,4,2,R7,mp5&5k原版下身
A,4,2,R8,mp5孤品
A,4,2,R9,（折叠拖）pdw背带扣
A,4,3,L1,mp5短弹夹
A,4,3,L2,mp5长弹夹
A,4,3,L3,mp5大屁股托
A,4,3,R1,ar导气管 8.5/7寸
A,4,3,R2,ldx回趟滑块
A,4,3,R3,sig托腮垫
A,4,3,R4,mp5开关
A,4,3,R5,slr阻手三件套
A,4,3,R6,托芯盖板
B,1,1,1,atm银
B,1,1,2,a5套件
B,1,1,3,m133有刷
B,1,1,4,rock atm 7075波壳
B,1,1,5,橘子 atm 7075波壳
B,1,2,L1,bcm黑前
B,1,2,L1,bcm沙前
B,1,2,L2,hk黑色前握
B,1,2,L3,k2沙握
B,1,2,L4,k2黑握
B,1,2,L5,蜜獾沙色握把
B,1,2,L6,b5无耳黑色握把
B,1,2,R1,hk沙前握
B,1,2,R2,b5 22 握把
B,1,2,R3,si后握
B,1,2,R4,bcm mod3握把
B,1,2,R4,td快拆握把
B,1,2,R5,416握把
B,1,2,R6,鸡腿无耳后握把
B,1,2,R7,dd沙短
B,1,2,R8,si短前
B,1,2,R9,dd黑短前
B,1,2,R10,480m4黑后
B,1,2,R10,480m4沙后
B,1,2,R11,a5黑后
B,1,2,R11,a5沙后
B,1,3,L1,b5 23握把
B,1,3,L2,冷铁 sig握把
B,1,3,L3,霍格超薄握把
B,1,3,L4,imi黑前
B,1,3,L4,imi沙前
B,1,3,L5,bcm黑后
B,1,3,L5,bcm沙后
B,1,3,L6,蜜獾绿后
B,1,3,L7,bcm 无耳握把
B,1,3,L8,moe沙后
B,1,3,R1,b5 23握把
B,1,3,R2,cqg等高线握把
B,1,3,R3,a5握把沙色
B,1,3,R4,si link 黑前
B,1,3,R4,si link 沙前
B,1,3,R5,a2超薄握把
B,1,3,R5,dd无护弓黑后
B,1,3,R6,qrs黑后
B,1,3,R7,b5有耳黑后
B,1,3,R8,b5有耳沙后
B,1,3,R9,b5有耳绿后灰后
B,1,4,L1,ldt黑托心
B,1,4,L2,ldt绿托心
B,1,4,L2,ldt沙托心
B,1,4,L3,dd超薄护弓握把
B,1,4,L4,小美 k2握把
B,1,4,L5,小美 sig握把
B,1,4,L6,精击moe握把
B,1,4,L6,精击蜜獾握把
B,1,4,R1,ldt黑托心
B,1,4,R2,普芯
B,1,4,R3,达歪dd480护弓握把
B,1,4,R4,ldt sig握把
B,1,4,R5,b5无耳握把 沙色
B,1,4,R6,捷鹰狙击握把
B,1,4,R7,小美k2黑色握把
B,1,5,1,atm黑
B,1,5,2,拼接外管
B,1,5,3,sig前握把
B,1,5,3,b5前握把
B,1,5,4,功夫握把
B,1,5,5,ldt车贴
B,1,5,6,mpx鱼骨7.5
B,2,1,L1,ris2 9.5狼棕
B,2,1,L2,mk4 10寸 ddc
B,2,1,L3,mk8 9.5寸bk
B,2,1,L4,bcm 13寸mlok鱼
B,2,1,L5,bcm 10寸 mlok鱼
B,2,1,L6,mk18 12.25寸狼棕鱼
B,2,1,L7,mk18 黑色鱼骨
B,2,1,R1,mk4 7寸ddc鱼骨
B,2,1,R2,ris3 9.5狼棕鱼骨
B,2,1,R3,mi 7寸黑色鱼骨
B,2,1,R4,mk4 10寸黑色鱼骨
B,2,1,R5,mk16 13.5 ddc鱼骨
B,2,1,R6,416 9寸黑色鱼骨
B,2,2,L1,etu v3火控
B,2,2,L2,etu v2pro
B,2,2,L3,etu ar后
B,2,2,L3,etu mp5前
B,2,2,L4,mp5有拉桥前出线
B,2,2,L5,ldx v3整波
B,2,2,L6,pdx 越狱鱼骨
B,2,2,R1,ldt润滑油
B,2,2,R2,壁虎包黑色
B,2,2,R3,壁虎包沙色
B,2,2,R4,ldt7075波壳
B,2,2,R5,ldx有拉桥后出线v2
B,2,3,L1,鱼骨杂货
B,2,3,L2,slr尼龙5.5寸
B,2,3,R1,RAS鱼骨
B,2,3,R2,ar7.5寸一体管
B,2,3,R3,hk 7寸一体管
B,2,3,R3,a5外管
B,2,3,R4,ar 10.3寸一体管
B,2,3,R5,hk 9寸一体管
B,2,3,R6,ar 11.5寸一体管
B,2,3,R7,ar 14.5寸一体管
B,2,4,1,sig黑色后托
B,2,4,2,sig沙色后托
B,2,4,3,dd普通黑色后托
B,2,4,4,ldt小马沙色下机匣
B,2,4,5,si伸缩托
B,2,4,6,sig折叠圆托芯 沙色
B,2,4,7,sig折叠圆托芯 黑色
B,2,4,8,bcm mod2后托
B,2,5,1,磨砂
B,2,5,2,乳白
B,2,5,3,双点背带
B,2,5,7,bj外管
C,1,1,1,l5沙色
C,1,1,2,l5透明
C,1,1,3,精马长灰
C,1,1,4,精马长沙
C,1,1,5,压力弹夹装弹器
C,1,2,1,精击l5 红透
C,1,2,1,精击l5 蓝透
C,1,2,2,精击si 黑透
C,1,2,3,精击l5灰色
C,1,2,4,精击dd弹夹
C,1,2,5,兵锋p90弹夹
C,1,2,5,乐辉mp9弹夹
C,1,2,5,乐辉mcx弹夹
C,1,3,1,马盖普黑
C,1,3,2,马盖普沙
C,1,3,3,精击金属弹匣
C,1,3,4,ldt 压力ar匣
C,1,3,5,ldt 压力hk钢匣
C,1,3,6,ldt压力dd匣
C,1,4,L1,ldt压力马盖普沙色
C,1,4,L2,北青电动加蛋器
C,1,4,L3,精击压力马黑色无窗匣
C,1,4,L4,精击压力马沙色无窗匣
C,1,4,L5,ldt ar分体管
C,1,4,R1,ldt l5黑透
C,1,4,R2,ldt压力马盖普沙色
C,1,4,R3,ldt 马盖普压力黑色
C,1,4,R4,ldt 压力L5沙色匣
C,1,4,R5,ldt 压力L5黑透匣
C,2,1,1,尼龙机匣
C,2,2,L1,g34教主内管
C,2,2,L2,gen5波壳
C,2,2,L3,gen tti开关
C,2,2,L4,2011盖板
C,2,2,L4,2011弹夹井
C,2,2,L5,2011伞齿
C,2,2,L5,2011缓冲垫
C,2,2,L5,2011内管胶皮
C,2,2,L5,2011气缸
C,2,2,L5,2011 24齿条
C,2,2,L5,2011 24大齿
C,2,2,L6,2011中齿
C,2,2,L6,2011小半圆
C,2,2,L6,2011空挂释放
C,2,2,L6,2011 异形件
C,2,2,L6,2011 轴套
C,2,2,L6,14逆牙帽
C,2,2,L7,2011 25齿条
C,2,2,L7,2011 25大齿
C,2,2,L8,sta释放
C,2,2,L9,2011弹簧
C,2,2,L10,c2复进杆
C,2,2,L11,2011尾顶
C,2,2,R1,xr弹夹
C,2,2,R2,gen5无限位盖板
C,2,2,R3,g17平底弹夹
C,2,2,R4,g17 sai扳机 黑
C,2,2,R5,g17 sai扳机 黑
C,2,2,R6,g17 sai扳机 金
C,2,2,R7,gen卡榫
C,2,2,R8,gen复进杆
C,2,2,R9,gen无字窄井
C,2,2,R10,g17 md5a波壳
C,2,3,L1,gen复进杆头
C,2,3,L1,g17弹簧
C,2,3,L2,gen齿条
C,2,3,L3,gen增高机瞄
C,2,3,L4,gen原厂复进杆头
C,2,3,L4,gen原厂机瞄
C,2,3,L5,gen气缸
C,2,3,L5,gen尼龙活塞
C,2,3,L5,gen大齿
C,2,3,L5,gen长插销
C,2,3,L5,gen短插销
C,2,3,L5,gen扳机连杆
C,2,3,L6,gen军规金属开关
C,2,3,L7,gen中齿
C,2,3,L7,gen抛壳杆
C,2,3,L7,gen伞齿
C,2,3,L7,gen推嘴胶皮
C,2,3,L7,gen绝缘片
C,2,3,L7,gen中身卡榫
C,2,3,L8,gen银井
C,2,3,L9,gen黑井
C,2,3,L10,tti宽井
C,2,3,R1,gen扩容弹夹
C,2,3,R2,gen宽瞄具盖板
C,2,3,R3,gen窄瞄具盖板
C,2,3,R4,gen加长夹
C,2,3,R5,g17握把
C,2,3,R6,gen tti窄井
C,2,4,1,gen复进杆簧（a）
C,2,4,2,gen复进杆簧（b）
C,2,4,3,2011 P
C,2,4,4,北青g17无刷（gen无）
C,2,5,1,c2弹夹
C,2,5,2,p/xc夹
C,2,5,2,xstar夹
C,2,5,3,一根管
C,3,1,L1,870弹壳 水版
C,3,1,L2,aka k3弹夹
C,3,1,L3,aka k2下身
C,3,1,L4,aka a1棕夹
C,3,1,L5,aka尼龙波壳
C,3,1,L5,870金身
C,3,1,R1,ldt ak pt-1后托
C,3,1,R2,ldt ak侧导轨
C,3,1,R3,ldt ak moe握把
C,3,2,L1,短剑内构件
C,3,2,L1,短剑弹簧
C,3,2,L2,短剑握把扩容
C,3,2,R1,短剑侧导轨
C,3,2,R2,短剑消音（a）
C,3,2,R3,短剑消音（b）
C,3,2,R4,短剑mk1鱼骨
C,3,2,R5,短剑沙匣
C,3,2,R6,短剑黑匣
C,3,2,R7,短剑配件包
C,3,3,L1,模立方19x反吹
C,3,3,L2,aka 拉机柄
C,3,3,L2,aka 拉杆
C,3,3,L3,万能钥匙 黑色
C,3,3,L4,软弹
C,3,3,L5,coco黑
C,3,3,L6,coco粉
C,3,3,R1,jmac ak爆炸火帽
C,3,3,R2,ak rk-1L前握把
C,3,3,R3,jmac ak4c火帽
C,3,3,R4,ak无刷电机
C,3,3,R5,ak有刷电机
C,3,3,R6,ak托导轨转接
C,3,3,R6,ak拉机柄套
C,3,3,R6,ak x37火帽
C,3,3,R7,ak托芯转接
C,3,4,L1,ak托芯转接
C,3,4,L2,ak 马盖普黑夹
C,3,4,L2,ak 马盖普沙夹
C,3,4,L3,短剑补件
C,3,4,L4,aka a2匣
C,3,4,L4,aka k2匣（红色包装）
C,3,4,R1,ak 压力棕匣
C,3,4,R2,ak后坐力套件
C,3,4,R2,ak内构件
D,1,1,1,eap弹鼓
D,1,1,2,eap上身
D,1,2,1,RVG握把黑色
D,1,2,2,RVG握把沙色
D,1,2,3,大三角沙色
D,1,2,3,小三角沙色
D,1,2,4,小三角黑色
D,1,2,5,大三角黑色
D,1,3,L1,eap铝管座（金色）
D,1,3,L1,eap锌合金管座（灰色）
D,1,3,L2,eap D型拉柄绿色
D,1,3,L3,eap D型拉柄黑色
D,1,3,L4,eap天梯+拍头
D,1,3,L4,eap卡榫
D,1,3,L4,eap开关
D,1,3,L5,eap绿盖
D,1,3,L6,eap黑盖
D,1,3,L7,eap绿井
D,1,3,L8,eap黑井
D,1,3,L9,eap弹簧
D,1,3,L10,eap大齿
D,1,3,L10,eap中齿
D,1,3,L10,eap伞齿
D,1,3,L10,eap电机齿
D,1,3,R1,eap下身
D,1,3,R2,eap气缸
D,1,3,R3,eap电池
D,1,4,L1,mini
D,1,4,L1,plus
D,1,4,L2,ldt 1.0波壳
D,1,4,L3,1.0加油包
D,1,4,L4,1.1加油包
D,1,4,L5,atm回趟簧
D,1,4,L5,全弹簧小包
D,1,4,L6,oy弹簧（卷毛）
D,1,4,R1,mcxbolt
D,1,4,R2,bcm古铜铝bolt
D,1,4,R3,saibolt
D,1,4,R4,hk bolt
D,1,4,R5,atm ar 铝bolt
D,2,1,1,ldt n4套件
D,2,1,2,ak套件
D,2,1,3,短剑套件
D,2,2,1,银翼slr b56机匣
D,2,2,2,银翼bcm mk2机匣
D,2,2,3,激趣416d尼龙机匣
D,2,2,4,银翼 ddmk18机匣
D,2,2,5,xr光版
D,2,3,1,lt普通bolt
D,2,3,1,radian铝bolt
D,2,3,2,p320沙滑
D,2,3,3,p320黑滑
D,2,3,4,模咖apc配件
D,2,3,4,龙麟p320盖板
D,2,3,4,aka 870气缸全小件
D,2,3,4,870抛壳钩
D,2,3,4,oy g34盖板
D,3,1,1,成品
D,3,2,L1,oy g17有刷
D,3,2,L2,xr烫纹版
D,3,2,L3,大牛
D,3,2,R1,C2
D,3,2,R2,oy ipsc34紫色
D,3,2,R3,oy电池
D,3,2,R4,oy加长夹
D,3,3,L1,tti 19x烫纹版
D,3,3,L2,tti 19x光版
D,3,3,L3,870实木配件
D,3,3,L4,870 ri黑水
D,3,3,R1,LDT DD ris3 cnc机匣
D,3,3,R2,P
D,3,4,1,BCM黑尼
D,3,4,2,小马黑尼
